feature_set,method,class_label,bin,bin_low,bin_high,n_samples,mean_predicted_probability,observed_frequency,absolute_gap
no_salary_hike_no_attrition_no_department,raw,4,2,0.1,0.2,16,0.13988807782930857,0.0625,0.07738807782930857
no_salary_hike_no_attrition_no_department,raw,4,3,0.2,0.30000000000000004,6,0.2526909298369045,0.16666666666666666,0.08602426317023784
no_salary_hike_no_attrition_no_department,raw,4,4,0.30000000000000004,0.4,4,0.3238107878912572,0.25,0.07381078789125722
no_salary_hike_no_attrition_no_department,raw,4,5,0.4,0.5,3,0.44089260865645014,0.0,0.44089260865645014
no_salary_hike_no_attrition_no_department,sigmoid,2,1,0.0,0.1,98,0.016358031994561026,0.02040816326530612,0.004050131270745095
no_salary_hike_no_attrition_no_department,sigmoid,2,2,0.1,0.2,2,0.1752713032765742,0.0,0.1752713032765742
no_salary_hike_no_attrition_no_department,sigmoid,2,4,0.30000000000000004,0.4,1,0.3440787899346186,1.0,0.6559212100653814
no_salary_hike_no_attrition_no_department,sigmoid,2,5,0.4,0.5,1,0.4837255721016431,1.0,0.5162744278983569
no_salary_hike_no_attrition_no_department,sigmoid,2,6,0.5,0.6000000000000001,5,0.5698022369978201,1.0,0.43019776300217993
no_salary_hike_no_attrition_no_department,sigmoid,2,7,0.6000000000000001,0.7000000000000001,3,0.6576518083529677,1.0,0.34234819164703234
no_salary_hike_no_attrition_no_department,sigmoid,2,8,0.7000000000000001,0.8,5,0.7522443955721878,0.6,0.15224439557218783
no_salary_hike_no_attrition_no_department,sigmoid,2,9,0.8,0.9,5,0.8326385342169116,1.0,0.16736146578308841
no_salary_hike_no_attrition_no_department,sigmoid,3,2,0.1,0.2,8,0.14518023562596652,0.0,0.14518023562596652
no_salary_hike_no_attrition_no_department,sigmoid,3,3,0.2,0.30000000000000004,4,0.2231363743552028,0.5,0.27686362564479716
no_salary_hike_no_attrition_no_department,sigmoid,3,4,0.30000000000000004,0.4,5,0.350208863640772,0.0,0.350208863640772
no_salary_hike_no_attrition_no_department,sigmoid,3,5,0.4,0.5,2,0.4105741127851963,0.0,0.4105741127851963
no_salary_hike_no_attrition_no_department,sigmoid,3,6,0.5,0.6000000000000001,1,0.597882868986281,0.0,0.597882868986281
no_salary_hike_no_attrition_no_department,sigmoid,3,7,0.6000000000000001,0.7000000000000001,2,0.683605832582036,1.0,0.316394167417964
no_salary_hike_no_attrition_no_department,sigmoid,3,8,0.7000000000000001,0.8,17,0.763897218976326,0.8823529411764706,0.11845572220014455
