feature_set,method,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition_no_department,sigmoid,7,0.8666666666666667,0.6423371647509578,0.6136025876387796,0.8171059533175977,0.5877825877825877,0.7732683982683982,0.6423371647509578,0.8666666666666667,0.13333333333333333,0.6896217264791464,1.0,0.0,0.426106126629222,0.24492760016365658,0.06101074541583425
no_salary_hike_no_attrition_no_department,isotonic,7,0.875,0.6590038314176245,0.6237666237666238,0.824946374946375,0.5921459492888065,0.7803416821273963,0.6590038314176245,0.875,0.125,0.7139224411951685,1.0,0.0,0.8016502378888112,0.24373283647818778,0.052694145550338516
no_salary_hike_no_attrition_no_department,raw,8,0.8333333333333334,0.5885057471264368,0.5861606287138202,0.792016484569676,0.5909532129683557,0.7598330421277422,0.5885057471264368,0.8333333333333334,0.16666666666666666,0.6019900497512438,1.0,0.0,0.49523823532174366,0.27717338624771665,0.06710412647466517
no_salary_hike_no_attrition_no_department,sigmoid,8,0.85,0.596168582375479,0.5900426742532007,0.8004599336178283,0.5920426422996382,0.7622025509232819,0.596168582375479,0.85,0.15,0.6251301631377993,1.0,0.0,0.4713364666386396,0.2703299332053496,0.07096722633448752
no_salary_hike_no_attrition_no_department,isotonic,8,0.85,0.596168582375479,0.5900426742532007,0.8004599336178283,0.5920426422996382,0.7622025509232819,0.596168582375479,0.85,0.15,0.6251301631377993,1.0,0.0,0.44663584187199723,0.25710528196648413,0.06519497113444594
no_salary_hike_no_attrition_no_department,raw,9,0.85,0.6090038314176245,0.5920167303146027,0.800884251682124,0.5787736668403682,0.759271321869029,0.6090038314176245,0.85,0.15,0.6384332105791763,1.0,0.0,0.5518769811009431,0.2888876416343504,0.11077989587553404
no_salary_hike_no_attrition_no_department,sigmoid,9,0.85,0.6090038314176245,0.5920167303146027,0.800884251682124,0.5787736668403682,0.759271321869029,0.6090038314176245,0.85,0.15,0.6384332105791763,1.0,0.0,0.4874183791556372,0.2757184189911187,0.061591243986087674
no_salary_hike_no_attrition_no_department,isotonic,9,0.85,0.6090038314176245,0.5920167303146027,0.800884251682124,0.5787736668403682,0.759271321869029,0.6090038314176245,0.85,0.15,0.6384332105791763,1.0,0.0,0.5202832738811438,0.2915075452986275,0.07439488105113728
no_salary_hike_no_attrition_no_department,raw,10,0.8583333333333333,0.6385057471264367,0.611645792133597,0.8128499230938255,0.5873015873015873,0.7722222222222221,0.6385057471264367,0.8583333333333333,0.14166666666666666,0.6772151898734178,1.0,0.0,0.4725425491581442,0.2489974164396775,0.09514767138654595
no_salary_hike_no_attrition_no_department,sigmoid,10,0.8583333333333333,0.6256704980842912,0.603030303030303,0.8090909090909091,0.5833333333333334,0.76625,0.6256704980842912,0.8583333333333333,0.14166666666666666,0.6644736842105263,1.0,0.0,0.42667540465502785,0.24107736826626927,0.09942152180077288
no_salary_hike_no_attrition_no_department,isotonic,10,0.85,0.6346743295019156,0.602311939268461,0.8048697377501725,0.5731021555763823,0.7643002186816619,0.6346743295019156,0.85,0.15,0.6638655462184875,1.0,0.0,0.43408425314385757,0.252566527038573,0.028978376497003425
no_salary_hike_no_attrition_no_department_no_job_role,raw,1,0.85,0.6558244387191755,0.6340579710144927,0.812784679089027,0.8823973429951691,0.8662741545893721,0.6558244387191755,0.85,0.15,0.6654275092936803,1.0,0.0,0.5060512229664069,0.2734415008896253,0.07340735925123419
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,1,0.8416666666666667,0.6382805790700528,0.6231409109457889,0.8047950215023386,0.8761324586066853,0.8581732271165261,0.6382805790700528,0.8416666666666667,0.15833333333333333,0.6408317580340265,1.0,0.0,0.47616046227954845,0.2724570476781325,0.09744318276939135
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,1,0.8166666666666667,0.6406729235676604,0.6010812054290314,0.7830929376581551,0.8417874396135265,0.8435990338164251,0.6406729235676604,0.8166666666666667,0.18333333333333332,0.6167247386759582,1.0,0.0,0.9926598119027034,0.29664969346107267,0.09424840959979491
no_salary_hike_no_attrition_no_department_no_job_role,raw,2,0.7833333333333333,0.5761562998405103,0.5281385281385281,0.7437229437229437,0.48992907801418434,0.7098439716312056,0.5761562998405103,0.7833333333333333,0.21666666666666667,0.5323741007194245,1.0,0.0,0.622978269613498,0.34314820420731684,0.12833918606165465
