feature_set,model,attribute,metric,class_label,point_estimate,ci_low,ci_high,bootstrap_std,n_boot_valid,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,min_group_support_threshold
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,mean_predicted_probability,4.0,0.031201555392497582,0.01818492747466771,0.0569026883206783,0.010098407429536991,500,5,Marketing,137,0.06569720771976055,Technical Degree,100,0.09689876311225813,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,positive_prediction_rate,3.0,0.2021676620216767,0.1232457877633247,0.2826585666833677,0.04263370251258425,500,5,Marketing,137,0.7372262773722628,Other,66,0.9393939393939394,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,positive_prediction_rate,2.0,0.19486839194868394,0.11749711629385678,0.27443998736547653,0.042856129748286655,500,5,Other,66,0.06060606060606061,Marketing,137,0.25547445255474455,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,positive_prediction_rate,4.0,0.01,0.0008979206049149366,0.03429663009404388,0.008238825169058188,500,5,Other,66,0.0,Technical Degree,100,0.01,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,precision,4.0,1.0,0.0,1.0,0.4913030913554244,487,4,Life Sciences,492,0.0,Marketing,137,1.0,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,precision,2.0,0.15476190476190477,0.09950471698113209,0.9,0.17454966759803425,500,5,Other,66,0.75,Medical,384,0.9047619047619048,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,precision,3.0,0.05993628036638787,0.034470925259626584,0.19329317196907236,0.041671314658414886,500,5,Technical Degree,100,0.8271604938271605,Other,66,0.8870967741935484,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,true_positive_rate,2.0,0.11538461538461542,0.07853174603174604,0.3211538461538456,0.058373164559128256,500,5,Life Sciences,492,0.8846153846153846,Other,66,1.0,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,true_positive_rate,4.0,0.07142857142857142,0.0,0.22670940170940151,0.06831884230841169,500,5,Life Sciences,492,0.0,Marketing,137,0.07142857142857142,30
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,true_positive_rate,3.0,0.04597264437689963,0.024312507207934476,0.1143258864932288,0.023651093811144976,500,5,Marketing,137,0.9361702127659575,Other,66,0.9821428571428571,30
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,accuracy,,0.09842274860082534,0.042829165063485976,0.21716429144921703,0.04542183016481991,500,5,Development,361,0.8199445983379502,Finance,49,0.9183673469387755,30
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,false_positive_rate,3.0,0.7368421052631579,0.5983822815127458,0.9344018954918033,0.08695205672945477,500,5,Finance,49,0.21052631578947367,Development,361,0.9473684210526315,30
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,false_positive_rate,2.0,0.045454545454545456,0.028871945259042034,0.08349968314321925,0.0161942509190713,500,5,Finance,49,0.0,Sales,373,0.045454545454545456,30
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,false_positive_rate,4.0,0.020833333333333332,0.0,0.06901427061310779,0.019030673788113225,500,5,Finance,49,0.0,Human Resources,54,0.020833333333333332,30
