feature_set,model,attribute,group_value,n_samples,support_warning,class_label,accuracy,macro_f1,actual_class_support,predicted_class_support,positive_prediction_rate,true_positive_rate,false_positive_rate,precision,mean_predicted_probability
no_salary_hike_no_attrition,xgboost,MaritalStatus,Single,384,False,4,0.8359375,0.5982087183266255,51,1,0.0026041666666666665,0.0,0.003003003003003003,0.0,0.08710278784883485
no_salary_hike_no_attrition,xgboost,EmpDepartment,Data Science,20,True,2,0.8,0.46078431372549017,1,3,0.15,1.0,0.10526315789473684,0.3333333333333333,0.13758454119306407
no_salary_hike_no_attrition,xgboost,EmpDepartment,Data Science,20,True,3,0.8,0.46078431372549017,17,17,0.85,0.8823529411764706,0.6666666666666666,0.8823529411764706,0.805635716021061
no_salary_hike_no_attrition,xgboost,EmpDepartment,Data Science,20,True,4,0.8,0.46078431372549017,2,0,0.0,0.0,0.0,,0.05677973642596044
no_salary_hike_no_attrition,xgboost,EmpDepartment,Development,361,False,2,0.8310249307479224,0.3725600149536703,13,6,0.01662049861495845,0.15384615384615385,0.011494252873563218,0.3333333333333333,0.038177135510762274
no_salary_hike_no_attrition,xgboost,EmpDepartment,Development,361,False,3,0.8310249307479224,0.3725600149536703,304,353,0.9778393351800554,0.9802631578947368,0.9649122807017544,0.8441926345609065,0.8674898084428502
no_salary_hike_no_attrition,xgboost,EmpDepartment,Development,361,False,4,0.8310249307479224,0.3725600149536703,44,2,0.00554016620498615,0.0,0.006309148264984227,0.0,0.09433305621117488
no_salary_hike_no_attrition,xgboost,EmpDepartment,Finance,49,False,2,0.9183673469387755,0.6458333333333334,15,15,0.30612244897959184,1.0,0.0,1.0,0.2813475592809074
no_salary_hike_no_attrition,xgboost,EmpDepartment,Finance,49,False,3,0.9183673469387755,0.6458333333333334,30,34,0.6938775510204082,1.0,0.21052631578947367,0.8823529411764706,0.6345827695438448
no_salary_hike_no_attrition,xgboost,EmpDepartment,Finance,49,False,4,0.9183673469387755,0.6458333333333334,4,0,0.0,0.0,0.0,,0.08406966906017149
