feature_set,model,attribute,metric,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,max_gap,min_group_support_threshold,class_label
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,precision,4,Life Sciences,492,0.0,Marketing,137,1.0,1.0,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,precision,5,Other,66,0.75,Medical,384,0.9047619047619048,0.15476190476190477,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,precision,5,Technical Degree,100,0.8271604938271605,Other,66,0.8870967741935484,0.05993628036638787,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,true_positive_rate,5,Life Sciences,492,0.8846153846153846,Other,66,1.0,0.11538461538461542,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,true_positive_rate,5,Life Sciences,492,0.0,Marketing,137,0.07142857142857142,0.07142857142857142,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,EducationBackground,true_positive_rate,5,Marketing,137,0.9361702127659575,Other,66,0.9821428571428571,0.04597264437689963,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,accuracy,5,Development,361,0.8199445983379502,Finance,49,0.9183673469387755,0.09842274860082534,30,
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,false_positive_rate,5,Finance,49,0.21052631578947367,Development,361,0.9473684210526315,0.7368421052631579,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,false_positive_rate,5,Finance,49,0.0,Sales,373,0.045454545454545456,0.045454545454545456,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,false_positive_rate,5,Finance,49,0.0,Human Resources,54,0.020833333333333332,0.020833333333333332,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,macro_f1,5,Development,361,0.37697428020008666,Finance,49,0.6458333333333334,0.2688590531332467,30,
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,mean_predicted_probability,5,Development,361,0.05652241769789007,Finance,49,0.27757977625314734,0.22105735855525727,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,mean_predicted_probability,5,Finance,49,0.6360353991313248,Development,361,0.8490148258712813,0.2129794267399565,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,mean_predicted_probability,5,Sales,373,0.07489382071874975,Human Resources,54,0.09756884406993373,0.022675023351183973,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,positive_prediction_rate,5,Development,361,0.036011080332409975,Finance,49,0.30612244897959184,0.2701113686471819,30,2.0
