feature_set,n_features,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,roc_auc_ovr_macro,roc_auc_ovr_weighted,pr_auc_macro,pr_auc_weighted
shap_top_10,10,6,0.925,0.8918704807997003,0.8855950251299088,0.9257113041996763,0.8879937482239272,0.9302692526285877,0.8918704807997003,0.925,0.08333333333333333,0.8211180124223603,0.9916666666666667,0.008333333333333333,0.9754059474691221,0.9686338681037915,0.8832756116950932,0.9449154917201228
shap_top_10,10,7,0.95,0.8987474211612142,0.9164141414141415,0.9488952020202019,0.9380490296220634,0.9492339121552604,0.8987474211612142,0.95,0.05,0.9046862589356632,1.0,0.0,0.983837044682678,0.9790487114131975,0.958892939831372,0.9788903977360425
shap_top_10,10,8,0.9333333333333333,0.8615531977600943,0.9018518518518519,0.9309722222222223,0.9540770609318997,0.9350134408602151,0.8615531977600943,0.9333333333333333,0.06666666666666667,0.8653576437587658,1.0,0.0,0.9774446406769964,0.9742584725762296,0.9497624146703806,0.9739272831266158
shap_top_10,10,9,0.925,0.8705570291777188,0.8904192685102587,0.9238198037466547,0.912962962962963,0.9241203703703705,0.8705570291777188,0.925,0.075,0.85553772070626,1.0,0.0,0.9777056034284524,0.970869536486359,0.9303128621535475,0.9623178059238006
shap_top_10,10,10,0.925,0.8307987032124964,0.8642470884522454,0.9218045417162045,0.9079710144927535,0.9231702898550724,0.8307987032124964,0.925,0.075,0.8501664816870145,1.0,0.0,0.967696497395015,0.9690484518077975,0.9344913807171525,0.9690045429109813
shap_top_15,15,1,0.975,0.9748803827751197,0.9686446886446887,0.9752490842490843,0.9628352490421456,0.9757375478927204,0.9748803827751197,0.975,0.025,0.9533437013996889,1.0,0.0,0.9976003768139972,0.9968182755775578,0.9930662589331319,0.9960072106327912
shap_top_15,15,2,0.9583333333333334,0.9017451846399215,0.9233900767852893,0.9572106772888405,0.9555555555555556,0.9597222222222221,0.9017451846399215,0.9583333333333334,0.05,0.8688524590163934,0.9916666666666667,0.008333333333333333,0.9839776351779111,0.978083071157583,0.9554721168289063,0.9758625084397329
shap_top_15,15,3,0.95,0.8761041589988959,0.9107389686337055,0.9475252525252525,0.9643401983218917,0.9518115942028985,0.8761041589988959,0.95,0.05,0.8983050847457628,1.0,0.0,0.9790251031883147,0.973626806313809,0.9427793291063761,0.9714523452591329
shap_top_15,15,4,0.875,0.8225984541774015,0.8214285714285715,0.8758928571428571,0.8223864258347017,0.8777025177887247,0.8225984541774015,0.875,0.125,0.765990639625585,1.0,0.0,0.9593507852194656,0.944127070417322,0.8617431810873483,0.9292171891306122
shap_top_15,15,5,0.9166666666666666,0.8543485149655748,0.8631990231990233,0.9154920634920636,0.8755050505050505,0.9156123737373739,0.8543485149655748,0.9166666666666666,0.09166666666666666,0.7979274611398963,0.9916666666666667,0.008333333333333333,0.9721856697290354,0.9680877757587079,0.9283411729000628,0.9636708609632937
shap_top_15,15,6,0.925,0.8918704807997003,0.8855950251299088,0.9257113041996763,0.8879937482239272,0.9302692526285877,0.8918704807997003,0.925,0.08333333333333333,0.8211180124223603,0.9916666666666667,0.008333333333333333,0.9735143668933531,0.966635342779561,0.8584664083881998,0.9343601250729441
shap_top_15,15,7,0.9583333333333334,0.9025788387857353,0.9304388766068943,0.9570560058953573,0.9685185185185184,0.9594444444444445,0.9025788387857353,0.9583333333333334,0.041666666666666664,0.9191374663072777,1.0,0.0,0.9844324197543662,0.979456999905598,0.9619609252071429,0.9803177095065225
shap_top_15,15,8,0.9333333333333333,0.8615531977600943,0.9018518518518519,0.9309722222222223,0.9540770609318997,0.9350134408602151,0.8615531977600943,0.9333333333333333,0.06666666666666667,0.8653576437587658,1.0,0.0,0.97471806457111,0.9705615028792599,0.9454109243984002,0.9709706996356509
shap_top_15,15,9,0.925,0.8705570291777188,0.8904192685102587,0.9238198037466547,0.912962962962963,0.9241203703703705,0.8705570291777188,0.925,0.075,0.85553772070626,1.0,0.0,0.9757586827896206,0.9705099122061739,0.932545715380658,0.9644426689439386
shap_top_15,15,10,0.925,0.8307987032124964,0.8642470884522454,0.9218045417162045,0.9079710144927535,0.9231702898550724,0.8307987032124964,0.925,0.075,0.8501664816870145,1.0,0.0,0.9708341681772232,0.9702246530727839,0.9346621857637766,0.9691572991925409
shap_top_20,20,1,0.975,0.9748803827751197,0.9686446886446887,0.9752490842490843,0.9628352490421456,0.9757375478927204,0.9748803827751197,0.975,0.025,0.9533437013996889,1.0,0.0,0.9971346024405072,0.9963928424092409,0.9912345967490896,0.9950642501869588
