feature_set,fold,feature,rank,mean_abs_grouped_shap
no_salary_hike_no_attrition_no_department_no_job_role,4,EmpEducationLevel,12,0.08217153527835358
no_salary_hike_no_attrition_no_department_no_job_role,4,YearsWithCurrManager,13,0.07657910489294105
no_salary_hike_no_attrition_no_department_no_job_role,4,ExperienceYearsAtThisCompany,14,0.07454380885364016
no_salary_hike_no_attrition_no_department_no_job_role,4,NumCompaniesWorked,15,0.060201258953505504
no_salary_hike_no_attrition_no_department_no_job_role,4,EmpRelationshipSatisfaction,16,0.055922065656583676
no_salary_hike_no_attrition_no_department_no_job_role,4,EmpJobInvolvement,17,0.055717757126250135
no_salary_hike_no_attrition_no_department_no_job_role,4,TrainingTimesLastYear,18,0.05545064691961872
no_salary_hike_no_attrition_no_department_no_job_role,4,OverTime,19,0.047910303589014804
no_salary_hike_no_attrition_no_department_no_job_role,5,EmpEnvironmentSatisfaction,1,1.0542533947400645
no_salary_hike_no_attrition_no_department_no_job_role,5,YearsSinceLastPromotion,2,0.516616806402534
no_salary_hike_no_attrition_no_department_no_job_role,5,ExperienceYearsInCurrentRole,3,0.24924905184711355
no_salary_hike_no_attrition_no_department_no_job_role,5,EmpWorkLifeBalance,4,0.2396527864962991
no_salary_hike_no_attrition_no_department_no_job_role,5,EmpHourlyRate,5,0.17024379808923792
no_salary_hike_no_attrition_no_department_no_job_role,5,EmpJobSatisfaction,6,0.10336770139591762
no_salary_hike_no_attrition_no_department_no_job_role,5,ExperienceYearsAtThisCompany,7,0.10195588785221238
no_salary_hike_no_attrition_no_department_no_job_role,5,DistanceFromHome,8,0.09785354648960896
no_salary_hike_no_attrition_no_department_no_job_role,5,YearsWithCurrManager,9,0.09301038620930437
no_salary_hike_no_attrition_no_department_no_job_role,5,BusinessTravelFrequency,10,0.08739896194860598
no_salary_hike_no_attrition_no_department_no_job_role,5,TrainingTimesLastYear,11,0.08450484633152276
no_salary_hike_no_attrition_no_department_no_job_role,5,NumCompaniesWorked,12,0.07897045936078939
no_salary_hike_no_attrition_no_department_no_job_role,5,TotalWorkExperienceInYears,13,0.07802015760268356
no_salary_hike_no_attrition_no_department_no_job_role,5,EmpJobLevel,14,0.07726261645800858
no_salary_hike_no_attrition_no_department_no_job_role,5,EmpEducationLevel,15,0.05607657235862765
no_salary_hike_no_attrition_no_department_no_job_role,5,EducationBackground,16,0.05331201455774135
no_salary_hike_no_attrition_no_department_no_job_role,5,EmpRelationshipSatisfaction,17,0.050427613025587764
no_salary_hike_no_attrition_no_department_no_job_role,5,EmpJobInvolvement,18,0.04240263401124038
no_salary_hike_no_attrition_no_department_no_job_role,5,OverTime,19,0.03543412203539952
