panel,audited_attribute,eligible_groups,support_context,metric,class_label,support_status,headline_eligible,largest_supported_gap_full_precision,largest_supported_gap_display,largest_supported_gap_ci_lower_full_precision,largest_supported_gap_ci_upper_full_precision,largest_supported_gap_interval_display,predictor_policy,target_class_support,estimation_status,interpretation,proxy_metric_full_precision,proxy_metric_display,proxy_metric_ci_lower_full_precision,proxy_metric_ci_upper_full_precision,proxy_metric_interval_display
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=475.0,accuracy,N/A,support_sufficient_descriptive_estimate,True,0.0501633393829401,0.0502,0.0059388280645434,0.0981628920804355,"[0.0059, 0.0982]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=400.0,false_positive_rate,2.0,support_sufficient_descriptive_estimate,True,0.0145544554455445,0.0146,0.0008502742188291,0.0378080943905335,"[0.0009, 0.0378]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=126.0,false_positive_rate,3.0,support_sufficient_descriptive_estimate,True,0.0228571428571428,0.0229,0.001883830455259,0.1256218905472637,"[0.0019, 0.1256]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=424.0,false_positive_rate,4.0,support_sufficient_descriptive_estimate,True,0.0321252783311848,0.0321,0.0025000649422003,0.0706800011088933,"[0.0025, 0.0707]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=475.0,macro_f1,N/A,support_sufficient_descriptive_estimate,True,0.0363171921364677,0.0363,0.0022058330684275,0.0862173029706534,"[0.0022, 0.0862]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=475.0,mean_predicted_probability,2.0,support_sufficient_descriptive_estimate,True,0.0090119129974409,0.0090,0.0007542481595769,0.0482083878774246,"[0.0008, 0.0482]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=475.0,mean_predicted_probability,3.0,support_sufficient_descriptive_estimate,True,0.0161567519227767,0.0162,0.0008449949454175,0.0491093667360211,"[0.0008, 0.0491]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=475.0,mean_predicted_probability,4.0,support_sufficient_descriptive_estimate,True,0.0071448389253356,0.0071,0.0004512454610185,0.0302795878084239,"[0.0005, 0.0303]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=475.0,positive_prediction_rate,2.0,support_sufficient_descriptive_estimate,True,0.0114700544464609,0.0115,0.0008166005686539,0.0540064064358827,"[0.0008, 0.0540]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=475.0,positive_prediction_rate,3.0,support_sufficient_descriptive_estimate,True,0.0399274047186932,0.0399,0.0023596210410101,0.0904023010259138,"[0.0024, 0.0904]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=475.0,positive_prediction_rate,4.0,support_sufficient_descriptive_estimate,True,0.0284573502722323,0.0285,0.0016442760761927,0.065822802823315,"[0.0016, 0.0658]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=83.0,precision,2.0,support_sufficient_descriptive_estimate,True,0.0554216867469878,0.0554,0.0027368581503323,0.1565005417315046,"[0.0027, 0.1565]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=340.0,precision,3.0,support_sufficient_descriptive_estimate,True,0.0227490996398559,0.0227,0.0012900510582086,0.0689505038622856,"[0.0013, 0.0690]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=52.0,precision,4.0,support_sufficient_descriptive_estimate,True,0.033076923076923,0.0331,0.0024038461538461,0.1477833686540188,"[0.0024, 0.1478]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=75.0,true_positive_rate,2.0,support_sufficient_descriptive_estimate,True,0.0391036414565826,0.0391,0.0023115024766098,0.1103231370444072,"[0.0023, 0.1103]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=349.0,true_positive_rate,3.0,support_sufficient_descriptive_estimate,True,0.0567007777322963,0.0567,0.0080213003548891,0.108585908351414,"[0.0080, 0.1086]",,,,,,,,,
A_supported_subgroup,Gender,"[""Female"",""Male""]",groups=2.0; minimum_group_support=475.0; metric_denominator>=51.0,true_positive_rate,4.0,support_sufficient_descriptive_estimate,True,0.0036310820624546,0.0036,0.0019666560717734,0.140155128864251,"[0.0020, 0.1402]",,,,,,,,,
A_supported_subgroup,MaritalStatus,"[""Divorced"",""Married"",""Single""]",groups=3.0; minimum_group_support=268.0; metric_denominator>=268.0,accuracy,N/A,support_sufficient_descriptive_estimate,True,0.0264692164179104,0.0265,0.0085042125406074,0.095789853350328,"[0.0085, 0.0958]",,,,,,,,,
A_supported_subgroup,MaritalStatus,"[""Divorced"",""Married"",""Single""]",groups=3.0; minimum_group_support=268.0; metric_denominator>=231.0,false_positive_rate,2.0,support_sufficient_descriptive_estimate,True,0.0317911255411255,0.0318,0.0117931134909133,0.058855313602436,"[0.0118, 0.0589]",,,,,,,,,
A_supported_subgroup,MaritalStatus,"[""Divorced"",""Married"",""Single""]",groups=3.0; minimum_group_support=268.0; metric_denominator>=63.0,false_positive_rate,3.0,support_sufficient_descriptive_estimate,True,0.0719235364396654,0.0719,0.0213729863113441,0.2171401747025242,"[0.0214, 0.2171]",,,,,,,,,
A_supported_subgroup,MaritalStatus,"[""Divorced"",""Married"",""Single""]",groups=3.0; minimum_group_support=268.0; metric_denominator>=242.0,false_positive_rate,4.0,support_sufficient_descriptive_estimate,True,0.0268301678037986,0.0268,0.0071322945567525,0.0827326776898762,"[0.0071, 0.0827]",,,,,,,,,
A_supported_subgroup,MaritalStatus,"[""Divorced"",""Married"",""Single""]",groups=3.0; minimum_group_support=268.0; metric_denominator>=268.0,macro_f1,N/A,support_sufficient_descriptive_estimate,True,0.0101459693845041,0.0101,0.0069557993018138,0.0840699040478759,"[0.0070, 0.0841]",,,,,,,,,
