feature_set,model,fold,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,severe_error_rate,nll_log_loss,multiclass_brier
all_features,xgboost,7,24,0.9333333333333333,0.891084585912172,0.9024363787098698,0.9331563869228177,0.926703315009162,0.9376811594202898,0.891084585912172,0.9333333333333333,0.06666666666666667,0.8759369346084259,0.0,0.16175224044032574,0.09978497765100851
all_features,catboost,8,24,0.9,0.8590627763041557,0.8657562993831309,0.9022382974115398,0.8791708796764408,0.9071241995281429,0.8590627763041557,0.9,0.10833333333333334,0.7713414634146342,0.008333333333333333,0.26453131409048747,0.15111095166819
all_features,lightgbm,8,24,0.9416666666666667,0.878219864426761,0.9141417954267116,0.9400977443924372,0.9586530264279625,0.9429134697357205,0.878219864426761,0.9416666666666667,0.058333333333333334,0.8839137645107794,0.0,0.2963996793209594,0.10933341889973788
all_features,xgboost,8,24,0.9333333333333333,0.8743884468022399,0.8999736815467152,0.931893207814556,0.9306363571069453,0.933366102851397,0.8743884468022399,0.9333333333333333,0.06666666666666667,0.869742198100407,0.0,0.20001564621871643,0.10072755418283247
all_features,catboost,9,24,0.9,0.8718980253463012,0.8732088325111581,0.9025120389945972,0.8831699346405228,0.9087418300653595,0.8718980253463012,0.9,0.1,0.8195036349962397,0.0,0.32580042011365873,0.1929100910266051
all_features,lightgbm,9,24,0.925,0.8577217801355732,0.8923993826228463,0.9229881767242104,0.9354219948849104,0.9252291133844842,0.8577217801355732,0.925,0.075,0.8507462686567164,0.0,0.39871225452726533,0.13561022750536206
all_features,xgboost,9,24,0.9333333333333333,0.8743884468022399,0.904609369866614,0.9320721630856166,0.9409849409849409,0.9336792836792837,0.8743884468022399,0.9333333333333333,0.06666666666666667,0.8692454372105693,0.0,0.23054617084899562,0.12451759705010755
all_features,catboost,10,24,0.8833333333333333,0.8244768641320365,0.8163025604886069,0.8821499882546394,0.8161170528817587,0.8845558526440879,0.8244768641320365,0.8833333333333333,0.11666666666666667,0.7894209074956129,0.0,0.300752547230462,0.17323006463575652
all_features,lightgbm,10,24,0.9416666666666667,0.8820807544945476,0.9100057315974781,0.9405305821665438,0.9481481481481482,0.9430555555555556,0.8820807544945476,0.9416666666666667,0.058333333333333334,0.8867924528301887,0.0,0.3104732338884271,0.10020130634021918
all_features,xgboost,10,24,0.95,0.9077217801355734,0.9275252525252525,0.9495896464646465,0.951685393258427,0.9507490636704119,0.9077217801355734,0.95,0.05,0.9046862589356632,0.0,0.19259619926573165,0.09997025356452213
no_salary_hike,catboost,1,23,0.825,0.6088516746411483,0.5653367653367654,0.7782646932646933,0.5281637531749589,0.7369602569849096,0.6088516746411483,0.825,0.175,0.6015180265654649,0.0,0.47232423060708834,0.2788859395542109
no_salary_hike,lightgbm,1,23,0.875,0.6590909090909091,0.6232620320855614,0.8249264705882352,0.5911495911495912,0.7802910052910053,0.6590909090909091,0.875,0.125,0.7053045186640472,0.0,0.6678595607365904,0.23325131435820226
no_salary_hike,xgboost,1,23,0.875,0.6590909090909091,0.6232620320855614,0.8249264705882352,0.5911495911495912,0.7802910052910053,0.6590909090909091,0.875,0.125,0.7053045186640472,0.0,0.43079718891319757,0.22742117852906205
no_salary_hike,catboost,2,23,0.8,0.597488038277512,0.5412291412291412,0.7562596662596662,0.4980905619203491,0.7198376977632297,0.597488038277512,0.8,0.2,0.5667870036101084,0.0,0.5708918186782425,0.32897887376874985
